Model,Dropped Feature,Features Used,Accuracy,Precision,Recall,F1 Score,ROC AUC,Accuracy Change,Effect of Removal
ANN,None (All 8 Features),8,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.8348148148148148,0.0,Accuracy unchanged
SVM,None (All 8 Features),8,0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.8227777777777778,0.0,Accuracy unchanged
KNN,None (All 8 Features),8,0.7662337662337663,0.7045454545454546,0.5740740740740741,0.6326530612244898,0.8212962962962963,0.0,Accuracy unchanged
ANN,Pregnancies,7,0.7207792207792207,0.6222222222222222,0.5185185185185185,0.5656565656565656,0.7964814814814815,-0.019480519480519543,Accuracy decreased
SVM,Pregnancies,7,0.7337662337662337,0.6511627906976745,0.5185185185185185,0.5773195876288659,0.8159259259259258,0.025974025974025983,Accuracy increased
KNN,Pregnancies,7,0.7727272727272727,0.7111111111111111,0.5925925925925926,0.6464646464646465,0.8312962962962963,0.00649350649350644,Accuracy increased
ANN,Glucose,7,0.7012987012987013,0.5769230769230769,0.5555555555555556,0.5660377358490566,0.7433333333333334,-0.038961038961038974,Accuracy decreased
SVM,Glucose,7,0.7012987012987013,0.6,0.4444444444444444,0.5106382978723404,0.7529629629629631,-0.00649350649350644,Accuracy decreased
KNN,Glucose,7,0.6948051948051948,0.6,0.3888888888888889,0.47191011235955055,0.7670370370370371,-0.07142857142857151,Accuracy decreased
ANN,BloodPressure,7,0.7272727272727273,0.62,0.5740740740740741,0.5961538461538461,0.8057407407407408,-0.012987012987012991,Accuracy decreased
SVM,BloodPressure,7,0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.8233333333333334,0.0,Accuracy unchanged
KNN,BloodPressure,7,0.7467532467532467,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.822037037037037,-0.019480519480519543,Accuracy decreased
ANN,SkinThickness,7,0.7402597402597403,0.64,0.5925925925925926,0.6153846153846154,0.8335185185185185,0.0,Accuracy unchanged
SVM,SkinThickness,7,0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.8228703703703704,0.0,Accuracy unchanged
KNN,SkinThickness,7,0.7597402597402597,0.6976744186046512,0.5555555555555556,0.6185567010309279,0.8167592592592593,-0.006493506493506551,Accuracy decreased
ANN,Insulin,7,0.7012987012987013,0.5869565217391305,0.5,0.54,0.8055555555555557,-0.038961038961038974,Accuracy decreased
SVM,Insulin,7,0.6948051948051948,0.5777777777777777,0.48148148148148145,0.5252525252525253,0.820462962962963,-0.012987012987012991,Accuracy decreased
KNN,Insulin,7,0.7597402597402597,0.6976744186046512,0.5555555555555556,0.6185567010309279,0.8148148148148148,-0.006493506493506551,Accuracy decreased
ANN,BMI,7,0.7272727272727273,0.62,0.5740740740740741,0.5961538461538461,0.7998148148148148,-0.012987012987012991,Accuracy decreased
SVM,BMI,7,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.8135185185185185,0.038961038961038974,Accuracy increased
KNN,BMI,7,0.7207792207792207,0.6222222222222222,0.5185185185185185,0.5656565656565656,0.7812037037037037,-0.045454545454545525,Accuracy decreased
ANN,DiabetesPedigreeFunction,7,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155,0.8214814814814815,-0.006493506493506551,Accuracy decreased
SVM,DiabetesPedigreeFunction,7,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.8183333333333334,0.006493506493506551,Accuracy increased
KNN,DiabetesPedigreeFunction,7,0.7272727272727273,0.62,0.5740740740740741,0.5961538461538461,0.8105555555555555,-0.038961038961038974,Accuracy decreased
ANN,Age,7,0.7012987012987013,0.5909090909090909,0.48148148148148145,0.5306122448979592,0.8027777777777778,-0.038961038961038974,Accuracy decreased
SVM,Age,7,0.7077922077922078,0.6097560975609756,0.46296296296296297,0.5263157894736842,0.8127777777777777,0.0,Accuracy unchanged
KNN,Age,7,0.7467532467532467,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.8022222222222223,-0.019480519480519543,Accuracy decreased
